"tract","Name","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall"
42101030501,"Lawncrest, Philadelphia, PA",0.8368
34007600200,"Gateway, Camden, NJ",0.8368
42101027700,"Logan/ Ogontz/ Fern Rock, Philadelphia, PA",0.8368
34005700401,"Maple Shade Township, NJ",0.8365
34007606800,"Bellmawr, NJ",0.8364
42101010100,"Carroll Park, Philadelphia, PA",0.836
42101033500,"Northeast Philadelphia, Philadelphia, PA",0.836
42045403300,"Clifton Heights, PA",0.8358
34007601000,"Biedman, Camden, NJ",0.8357
42101007200,"Angora, Philadelphia, PA",0.8355
42101017202,"Allegheny West, Philadelphia, PA",0.8353
42101006100,"Elmwood, Philadelphia, PA",0.835
42101017702,"North Philadelphia, Philadelphia, PA",0.8343
42101007400,"Southwest Philadelphia, Philadelphia, PA",0.834
42101015600,"Norris Square, Philadelphia, PA",0.834
42045403104,"Collingdale, PA",0.8339
42045403402,"Folcroft, PA",0.8337
42045403002,"Briarcliffe, Glenolden, PA",0.8335
34015500202,"Woodbury, NJ",0.8335
42101002701,"Dickinson Narrows, Philadelphia, PA",0.8334
42101007700,"Spruce Hill, Philadelphia, PA",0.8332
42101037800,"North Philadelphia, Philadelphia, PA",0.8329
42101013900,"Cecil B. Moore, Philadelphia, PA",0.8327
42101034000,"Fox Chase/ Burholme, Philadelphia, PA",0.8324
34007602503,"Pennsauken Township, NJ",0.8322
42101026400,"North Philadelphia, Philadelphia, PA",0.8322
42101002300,"Passyunk Square, Philadelphia, PA",0.8318
42101026500,"North Philadelphia, Philadelphia, PA",0.8313
42101032900,"Holmesburg, Philadelphia, PA",0.8307
34007604700,"Oaklyn, NJ",0.8305
42101011800,"Overbrook, Philadelphia, PA",0.8304
42101030900,"Oxford Circle/ Castor, Philadelphia, PA",0.8299
42101034701,"Northeast Philadelphia, Philadelphia, PA",0.8295
42101003001,"Newbold, Philadelphia, PA",0.8294
34007600900,"Cramer Hill, Camden, NJ",0.8286
42045404004,"Morton, PA",0.8284
42101016200,"Norris Square, Philadelphia, PA",0.828
42045400500,"Upper Darby, PA",0.8278
42101011500,"Overbrook, Philadelphia, PA",0.8275
42101034200,"Fox Chase/ Burholme, Philadelphia, PA",0.8271
