tract,Name,%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall,Individual Income,,,,
24005421200,"Dundalk, MD",0.7978,,,,,#VALUE!
24510270402,"Glenham-Belford, Baltimore, MD",0.7975,32371,,,, Baltimore
24510270301,"Lauraville, Baltimore, MD",0.7964,28209,,,, Baltimore
24005421101,"Baltimore, MD",0.7953,,,,,#VALUE!
24005441101,"Rosedale, MD",0.7934,,,,,#VALUE!
24510260605,"Medford - Broening, Baltimore, MD",0.793,25520,,,, Baltimore
24510270401,"Glenham-Belford, Baltimore, MD",0.7918,27033,,,, Baltimore
24005401301,"Woodlawn, MD",0.7907,,,,,#VALUE!
24005440800,"Rosedale, MD",0.7887,,,,,#VALUE!
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.7887,,,,, Lansdowne
24005430600,"Relay, Halethorpe, MD",0.7886,,,,, Halethorpe
24510020200,"Upper Fells Point, Baltimore, MD",0.7877,21577,,,, Baltimore
24005491401,"Parkville, MD",0.7874,,,,,#VALUE!
24510260700,"Fifteenth Street, Baltimore, MD",0.7858,24042,,,, Baltimore
24005401302,"Gwynn Oak, Baltimore, MD",0.7849,26999,,,, Baltimore
24005420900,"Dundalk, MD",0.7846,,,,,#VALUE!
24510270102,"Waltherson, Baltimore, MD",0.7844,29343,,,, Baltimore
24510130806,"Woodberry, Baltimore, MD",0.7837,25508,,,, Baltimore
24005452300,"Baltimore, MD",0.7836,,,,,#VALUE!
24510270101,"Arcadia, Baltimore, MD",0.7836,30012,,,, Baltimore
24005440400,"Baltimore, MD",0.7832,,,,,#VALUE!
24005430800,"Halethorpe, MD",0.7828,,,,,#VALUE!
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.7824,28832,,,, Baltimore
24005420100,"Dundalk, MD",0.782,,,,,#VALUE!
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.7811,30776,,,, Baltimore
24510040200,"Downtown, Baltimore, MD",0.7808,16877,,,, Baltimore
24003750101,"Brooklyn Park, MD",0.7805,,,,,#VALUE!
24510271900,"Glen, Baltimore, MD",0.7803,26015,,,, Baltimore
24510120700,"Remington, Baltimore, MD",0.7798,19475,,,, Baltimore
24003750201,"Brooklyn, Baltimore, MD",0.7797,29204,,,, Baltimore
24510240300,"Riverside, Baltimore, MD",0.779,20985,,,, Baltimore
24005440600,"Rosedale, MD",0.7779,,,,,#VALUE!
24005421000,"Dundalk, MD",0.7775,,,,,#VALUE!
24510280403,"Westgate, Baltimore, MD",0.777,30115,,,, Baltimore
24005421102,"Dundalk, MD",0.7763,,,,,#VALUE!
24005401200,"Woodlawn, MD",0.775,,,,,#VALUE!
24005430700,"Halethorpe, MD",0.7738,,,,,#VALUE!
24510250402,"Brooklyn, Baltimore, MD",0.7736,18786,,,, Baltimore
24005420701,"Dundalk, MD",0.7694,,,,,#VALUE!
24005401102,"Gwynn Oak, Woodlawn, MD",0.7692,,,,, Woodlawn
24510270302,"Waltherson, Baltimore, MD",0.7689,32647,,,, Baltimore
24005440500,"Nottingham, MD",0.7686,,,,,#VALUE!
24005403201,"Gwynn Oak, Lochearn, MD",0.7671,,,,, Lochearn
24510130600,"Hampden, Baltimore, MD",0.7665,25718,,,, Baltimore
