"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
42101033800,"Fox Chase/ Burholme, Philadelphia, PA",33206
34007602902,"Pennsauken Township, NJ",33167
34007602601,"Pennsauken Township, NJ",33116
34005700402,"Maple Shade Township, NJ",33098
42101034802,"Northeast Philadelphia, Philadelphia, PA",33096
34005701001,"Edgewater Park, NJ",33007
42101030600,"Lawncrest, Philadelphia, PA",32996
42101018002,"North Philadelphia, Philadelphia, PA",32984
42101025700,"Chestnut Hill, Philadelphia, PA",32958
42101012500,"North Philadelphia, Philadelphia, PA",32945
34007608302,"Camden County, NJ",32890
34007606700,"Barrington, NJ",32831
42101025600,"East Mount Airy, Philadelphia, PA",32756
42045403800,"Prospect Park, PA",32747
42045403502,"Glenolden, PA",32684
42045403103,"Collingdale, PA",32680
42017100201,"Trevose, Feasterville-Trevose, PA",32667
34015501003,"Woodbury, NJ",32661
42045404103,"Ridley Park, PA",32632
42101021300,"Manayunk, Philadelphia, PA",32629
42045403300,"Clifton Heights, PA",32593
42091203106,"Conshohocken, PA",32593
42101001101,"Center City, Philadelphia, PA",32569
42101034502,"Bustleton, Philadelphia, PA",32549
42101033400,"Northeast Philadelphia, Philadelphia, PA",32547
42101018300,"Bridesburg, Philadelphia, PA",32480
42101027000,"North Philadelphia, Philadelphia, PA",32479
42045402200,"Yeadon, PA",32448
42101002900,"Passyunk Square, Philadelphia, PA",32439
42101002802,"East Passyunk Crossing, Philadelphia, PA",32365
42101020900,"Northwest Philadelphia, Philadelphia, PA",32331
42045401700,"Lansdowne, PA",32309
42091205501,"Ardmore, PA",32287
42101018400,"North Philadelphia, Philadelphia, PA",32282
34007605300,"Brooklawn, NJ",32219
42045407700,"Morton, PA",32191
34005700702,"Riverside, NJ",32157
34007611100,"Bellmawr, NJ",32155
42101002702,"Pennsport, Philadelphia, PA",32150
34015500202,"Woodbury, NJ",32128
42101034900,"Holmesburg, Philadelphia, PA",32127
42101025500,"Northwest Philadelphia, Philadelphia, PA",32117
34005700401,"Maple Shade Township, NJ",32098
42017100102,"Bensalem, PA",32058
34007605200,"Gloucester City, NJ",32030
34007611600,"Collingswood, NJ",32004
